NR Ano;DS Nome (TBRegiao);Contagem de B Concluinte
2017;SUL;97157
2017;SUDESTE;208303
2017;NORTE;30144
2017;NORDESTE;79974
2017;CENTRO-OESTE;33949
2018;SUL;106475
2018;SUDESTE;210552
2018;NORTE;23420
2018;NORDESTE;84320
2018;CENTRO-OESTE;37152
2019;SUL;69958
2019;SUDESTE;180418
2019;NORTE;25894
2019;NORDESTE;82882
2019;CENTRO-OESTE;30752
